switch;vlan
aa1;11
aa2;11
ab1;11
ab2;11
ac1;12
ac2;12
ad1;12
ad2;12
ae1;13
ae2;13
af1;13
af2;13
ag1;14
ag2;14
ah1;11
ah2;11
aj1;11
aj2;11
ak1;12
ak2;12
al1;12
al2;12
am1;13
am2;13
an1;13
an2;13
ap1;14
ap2;14
aq1;11
aq2;11
ar1;11
ar2;11
as1;12
as2;12
at1;12
at2;12
au1;13
au2;13
av1;13
av2;13
aw1;14
aw2;14
ax1;11
ax2;11
ay1;11
ay2;11
az1;12
az2;12
ba1;12
ba2;12
bb1;13
bb2;13
bc1;13
bc2;13
bd1;14
bd2;14
be1;11
be2;11
bf1;11
bf2;11
bg1;12
bg2;12
bh1;12
bh2;12
bj1;13
bj2;13
bk1;13
bk2;13
bl1;14
bl2;14
bm1;11
bm2;11
bn1;11
bn2;11
bp1;12
bp2;12
bq1;12
bq2;12
br1;13
br2;13
bs1;13
bs2;13
aa3;15
ca1;15
cb1;15
cc1;15
cd1;15
ce1;14
cf1;14
cg1;14
ch1;14
da1;11
da2;11
db1;11
db2;11
dc1;12
dc2;12
dd1;12
dd2;12
de1;13
de2;13
df1;13
df2;13
dg1;14
dg2;14
dh1;11
dh2;11
dj1;11
dj2;11
dk1;12
dk2;12
dl1;12
dl2;12
dm1;13
dm2;13
dn1;13
dn2;13
dp1;14
dp2;14
dq1;11
dq2;11
dr1;11
dr2;11
ds1;12
ds2;12
dt1;12
dt2;12
du1;13
du2;13
dv1;13
dv2;13
dw1;14
dw2;14
dx1;11
dx2;11
dy1;11
dy2;11
dz1;12
dz2;12
ea1;12
ea2;12
eb1;13
eb2;13
ec1;13
ec2;13
ed1;14
ed2;14
ee1;11
ee2;11
fa1;15
fb1;15
fc1;15
fd1;15
fe1;14
ff1;14
fg1;14
fh1;15
fj1;15
fk1;15
fl1;15
fm1;14
fn1;14
fp1;14
fq1;15
fr2;15
fs1;15
ft1;15
fu1;15
ga1;16
gb1;16
gc1;16
gd1;16
ge1;16
gg1;16
gh1;16
gj1;16
gk1;17
gl1;17
gm1;17
xa1;14
xa2;14
xb1;13
xb2;13
xc1;13
xc2;13
xd1;12
xd2;12
xe1;12
xe2;12
xf1;11
xf2;11
xg1;11
xg2;11
xh1;14
xh2;14
xj1;13
xj2;13
xk1;13
xk2;13
xl1;12
xl2;12
xm1;12
xm2;12
xn1;11
xn2;11
xp1;11
xp2;11
ya1;14
ya2;14
yb1;14
yb2;14
yc1;14
yc2;15
yd1;15
yd2;15
ye1;15
ye2;15
yf1;15
yf2;15
yg1;15
yg2;15
yh1;14
yh2;14
yj1;14
yj2;12
yk1;15
yk2;12
yl1;15
yl2;11
ym1;15
ym2;11
yn1;15
yn2;11
yp1;15
yp2;11
za1;14
za2;14
zb1;13
zb2;13
zc1;13
zc2;13
zd1;12
zd2;12
ze1;12
ze2;12
zf1;11
zf2;11
zg1;11
zg2;11
zh1;12
zh2;12
zj1;13
zj2;13
zk1;13
zk2;13
zl1;14
zl2;14
zm1;14
zm2;14
